Time_s,Filtered_Signal
0.0895,-1.007674156
0.0896,-0.586286894
0.0897,-1.160858942
0.0898,-2.097827403
0.0899,-1.798800337
0.09,0.058044644
0.0901,1.895853791
0.0902,2.153637994
0.0903,1.181623534
0.0904,0.587173556
0.0905,0.990394475
0.0906,1.292302988
0.0907,0.414408903
0.0908,-0.980036838
0.0909,-1.247864858
0.091,-0.011769024
0.0911,1.212155874
0.0912,0.923007438
0.0913,-0.475455252
0.0914,-1.334130272
0.0915,-1.007052079
0.0916,-0.585755725
0.0917,-1.160423057
0.0918,-2.097490186
0.0919,-1.798564161
0.092,0.058178438
0.0921,1.89588489
0.0922,2.153567113
0.0923,1.181452391
0.0924,0.586904849
0.0925,0.990031848
0.0926,1.29185098
0.0927,0.413872897
0.0928,-0.980650677
0.0929,-1.248549653
0.093,-0.012517261
0.0931,1.211352266
0.0932,0.922156998
0.0933,-0.476343602
0.0934,-1.335047324
0.0935,-1.007988429
0.0936,-0.586701872
0.0937,-1.161369497
0.0938,-2.098427508
0.0939,-1.799483135
0.094,0.057286764
0.0941,1.89502911
0.0942,2.152755377
0.0943,1.180692332
0.0944,0.586203509
0.0945,0.989395616
0.0946,1.291285532
0.0947,0.413383152
0.0948,-0.981060604
0.0949,-1.248876481
0.095,-0.012758567
0.0951,1.211198029
0.0952,0.922090498
0.0953,-0.476322577
0.0954,-1.334939854
0.0955,-1.007796443
0.0956,-0.586428119
0.0957,-1.161017513
0.0958,-2.09800157
0.0959,-1.798988214
0.096,0.057845061
0.0961,1.895644603
0.0962,2.153421377
0.0963,1.181401715
0.0964,0.586948791
0.0965,0.990169029
0.0966,1.292079109
0.0967,0.414188802
0.0968,-0.980251011
0.0969,-1.248071034
0.097,-0.011965231
0.0971,1.211971487
0.0972,0.922836586
0.0973,-0.475611005
0.0974,-1.334269528
0.0975,-1.007173617
0.0976,-0.585858513
0.0977,-1.160506259
0.0978,-2.097553171
0.0979,-1.798606503
0.098,0.058156954
0.0981,1.89588427
0.0982,2.153587155
0.0983,1.181492691
0.0984,0.586964805
0.0985,0.990110667
0.0986,1.291947692
0.0987,0.413986362
0.0988,-0.980521753
0.0989,-1.248406707
0.099,-0.012361852
0.0991,1.211518467
0.0992,0.922332233
0.0993,-0.476161166
0.0994,-1.334859572
0.0995,-1.007797281
0.0996,-0.586509262
0.0997,-1.161177354
0.0998,-2.098237738
0.0999,-1.799297601
0.1,0.05746626
